id,pattern,category,phase,answer,is_correct,time_to_answer
400,0010,0,learning,1,False,4.791
400,1001,1,learning,0,False,3.452
400,0011,0,learning,timeout,False,5000.0
400,0110,0,learning,0,True,3.083
400,1110,1,learning,0,False,3.867
400,0010,0,learning,0,True,3.403
400,1111,1,learning,1,True,2.616
400,1011,1,learning,1,True,3.521
400,0011,0,learning,0,True,2.059
400,1110,1,learning,0,False,2.301
400,0110,0,learning,0,True,2.621
400,0011,0,learning,0,True,3.217
400,0101,0,learning,1,False,3.27
400,1111,1,learning,1,True,2.838
400,0010,0,learning,0,True,3.356
400,0111,0,learning,0,True,3.372
400,1001,1,learning,1,True,2.965
400,1011,1,learning,0,False,3.521
400,1111,1,learning,0,False,3.632
400,0011,0,learning,0,True,2.617
400,1111,1,learning,1,True,2.968
400,1001,1,learning,1,True,2.366
400,1101,1,learning,0,False,2.503
400,1110,1,learning,0,False,2.701
400,1110,1,learning,0,False,3.25
400,0011,0,learning,0,True,2.733
400,1110,1,learning,1,True,2.339
400,1111,1,learning,1,True,2.752
400,1101,1,learning,0,False,2.634
400,1111,1,learning,1,True,3.35
400,0101,0,learning,0,True,2.567
400,1001,1,learning,1,True,2.633
400,0010,0,learning,0,True,3.284
400,0110,0,learning,0,True,3.47
400,1101,1,learning,0,False,3.535
400,1110,1,learning,0,False,4.517
400,0110,0,learning,0,True,2.452
400,1110,1,learning,0,False,2.818
400,0010,0,learning,0,True,2.67
400,1001,1,learning,1,True,3.134
400,0101,0,learning,0,True,2.234
400,0110,0,learning,0,True,2.732
400,1011,1,learning,1,True,2.033
400,1110,1,learning,0,False,3.402
400,0110,0,learning,0,True,3.402
400,0101,0,learning,0,True,1.902
400,1101,1,learning,1,True,2.23
400,1001,1,learning,1,True,1.5
400,0011,0,learning,0,True,2.317
400,0111,0,learning,0,True,3.485
400,1110,1,learning,1,True,2.152
400,0010,0,learning,0,True,2.264
400,1011,1,learning,1,True,2.214
400,1111,1,learning,1,True,2.284
400,0111,0,learning,0,True,2.966
400,0010,0,learning,0,True,2.57
400,1011,1,learning,1,True,2.219
400,0011,0,learning,0,True,2.817
400,0110,0,learning,0,True,2.986
400,1100,3,transfer,1,None,2.868
400,1000,3,transfer,1,None,2.034
400,0001,3,transfer,0,None,2.084
400,1010,3,transfer,1,None,2.035
400,0000,3,transfer,0,None,2.837
400,0100,3,transfer,0,None,2.566
400,1100,3,transfer,1,None,2.854
400,1000,3,transfer,1,None,2.186
400,0001,3,transfer,0,None,2.334
400,0100,3,transfer,0,None,2.218
400,1010,3,transfer,1,None,2.034
400,0000,3,transfer,0,None,2.384
400,1010,3,transfer,1,None,2.254
400,0000,3,transfer,0,None,2.469
400,0100,3,transfer,0,None,2.301
400,1000,3,transfer,1,None,2.216
400,1100,3,transfer,1,None,3.206
400,0001,3,transfer,0,None,2.25
